IL,Name,SMILES,logEC50,Dataset,Normalized SMILES
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,CCOC(=O)C[N+](CC)(C)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(C(F)(F)F)=O
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C[N+](CC)(CC(OCC)=O)C.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,O(CC)C(=O)C[N+](CC)(C)C.S([N-]S(=O)(=O)C(F)(F)F)(=O)(=O)C(F)(F)F
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C(C)OC(=O)C[N+](C)(C)CC.S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)(=O)=O
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,CCOC(=O)C[N+](C)(CC)C.FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C(C)[N+](C)(CC(=O)OCC)C.O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C([N+](CC)(C)C)C(=O)OCC.FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C[N+](CC)(C)CC(=O)OCC.FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C(F)(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.O=C(OCC)C[N+](C)(CC)C
5,(ethoxycarbonylmethyl)ethyldimethylammonium bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CC(=O)OCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.53,Training,C[N+](CC(OCC)=O)(CC)C.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C(CCC)[N+](C)(C)C.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C[N+](CCCC)(C)C.FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,CCCC[N+](C)(C)C.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C(C[N+](C)(C)C)CC.S([N-]S(C(F)(F)F)(=O)=O)(=O)(C(F)(F)F)=O
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C[N+](C)(C)CCCC.O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C(CC)C[N+](C)(C)C.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C(F)(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F.C[N+](C)(CCCC)C
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C(CC[N+](C)(C)C)C.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,CCCC[N+](C)(C)C.O=S([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F
6,Butyltrimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(C)CCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.61,Training,C[N+](C)(CCCC)C.O=S(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,C(C)OCC[N+](CC)(C)C.S(C(F)(F)F)(=O)([N-]S(=O)(C(F)(F)F)=O)=O
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,CCOCC[N+](C)(C)CC.FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.[N+](C)(C)(CCOCC)CC
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,CCOCC[N+](C)(C)CC.O=S([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,C[N+](C)(CC)CCOCC.[N-](S(=O)(C(F)(F)F)=O)S(=O)(=O)C(F)(F)F
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O.[N+](C)(CC)(C)CCOCC
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,S(=O)(=O)(C(F)(F)F)[N-]S(C(F)(F)F)(=O)=O.[N+](C)(C)(CC)CCOCC
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,C[N+](CC)(C)CCOCC.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,FC(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)F.[N+](CC)(C)(CCOCC)C
7,Ethyl(2-ethoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.27,Training,C([N+](CC)(C)C)COCC.S(=O)([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C([N+](C)(CCO)C)C.FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C(O)C[N+](C)(CC)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C[N+](C)(CC)CCO.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,FC(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)F.OCC[N+](C)(CC)C
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.C[N+](CCO)(C)CC
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C([N+](C)(CCO)C)C.S([N-]S(=O)(C(F)(F)F)=O)(=O)(=O)C(F)(F)F
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,CC[N+](CCO)(C)C.O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C(C[N+](CC)(C)C)O.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C(O)C[N+](C)(CC)C.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F
8,Ethyl(2-hydroxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCO.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.7,Test,C(C[N+](CC)(C)C)O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.O(C)CC[N+](C)(C)CC
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,CC[N+](C)(CCOC)C.[N-](S(C(F)(F)F)(=O)=O)S(=O)(=O)C(F)(F)F
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C(COC)[N+](CC)(C)C.FC(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)F
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C[N+](CCOC)(C)CC.FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,COCC[N+](C)(CC)C.S([N-]S(C(F)(F)F)(=O)=O)(=O)(C(F)(F)F)=O
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C(C[N+](C)(CC)C)OC.O=S([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C(C)[N+](C)(C)CCOC.C(F)(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,[N+](C)(C)(CC)CCOC.[N-](S(C(F)(F)F)(=O)=O)S(=O)(C(F)(F)F)=O
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,C([N+](C)(C)CC)COC.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
9,Ethyl(2-methoxyethyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.3,Training,CC[N+](C)(C)CCOC.FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F
10,Ethyl(3-methoxypropyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.54,Training,COCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
10,Ethyl(3-methoxypropyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.54,Training,CC[N+](CCCOC)(C)C.O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
10,Ethyl(3-methoxypropyl)dimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)CCCOC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.54,Training,O(CCC[N+](C)(CC)C)C.S(C(F)(F)F)(=O)(=O)[N-]S(C(F)(F)F)(=O)=O
