T/K,P/MPa,TC/W m-1 K-1,Data type,Name,SMILES,Normalized SMILES,index,P/bar,RANDOM,IL
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC)C[N+]1(C)CCCCC1.C(F)(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F,1,50,2,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(CCCCC1)C)CC.[N-](S(=O)(=O)C(F)(F)F)S(C(F)(F)F)(=O)=O,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(CCCC)C.O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(CCCCC1)C)CC.FC(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)F,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.[N+]1(C)(CCCC)CCCCC1,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCC[N+](CCCC)(C)C1.S([N-]S(=O)(C(F)(F)F)=O)(=O)(=O)C(F)(F)F,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC)C[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C)CC[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O,1,100,3,1
283.15,10.0,0.1144,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1[N+](CCCC)(CCCC1)C.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F,1,100,3,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C)CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O.[N+]1(C)(CCCC)CCCCC1,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(CCCC)C.FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(CCCC)C.FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C([N+]1(C)CCCCC1)CCC.S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)(=O)=O,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C)CC[N+]1(CCCCC1)C.C(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)(F)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1[N+](CCCC1)(CCCC)C.FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,1,200,4,1
283.15,20.0,0.1163,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCC)CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O,1,200,4,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1C[N+](CCCC)(CCC1)C.FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F.[N+]1(CCCC)(CCCCC1)C,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.[N+]1(CCCCC1)(C)CCCC,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC[N+]1(C)CCCCC1)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)(F)F.C1CCC[N+](CCCC)(C1)C,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1C[N+](CCCC)(C)CCC1.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CC[N+](CC1)(C)CCCC.O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCCC1)C.O=S(=O)(C(F)(F)F)[N-]S(=O)(C(F)(F)F)=O,1,300,5,1
283.15,30.0,0.1168,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(CCCC)C.O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O,1,300,5,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.C(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O.C1CCCC[N+]1(CCCC)C,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)(F)F.[N+]1(C)(CCCC)CCCCC1,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCCC1)CCCC.S(=O)([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCCC1)C.S([N-]S(C(F)(F)F)(=O)=O)(=O)(C(F)(F)F)=O,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.C1CCC[N+](CCCC)(C1)C,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.C1C[N+](CCCC)(CCC1)C,1,400,6,1
283.15,40.0,0.1188,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)(=O)=O,1,400,6,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1[N+](CCCC)(C)CCCC1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCC[N+](CCCC)(C)C1.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O.C1[N+](CCCC)(C)CCCC1,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,O=S(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O.[N+]1(CCCC)(C)CCCCC1,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CC[N+](CC1)(CCCC)C.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1C[N+](CCC1)(C)CCCC.S(=O)([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CC[N+](CC1)(CCCC)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1,500,7,1
283.15,50.0,0.1224,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O.[N+]1(CCCCC1)(C)CCCC,1,500,7,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC[N+]1(CCCCC1)C)C.FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C)CC[N+]1(CCCCC1)C.FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCC[N+](CCCC)(C)C1.S(C(F)(F)F)(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(CCCC)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,1,600,8,1
283.15,60.0,0.123,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCCC[N+]1(C)CCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1,600,8,1
